youtubeId,title,channel,bpm,key
q3DlUMrhQNc,The Piano Choir / Ballad for The Beast from Bali-Bali,Vinyle Archéologie,,
iillP1QQt2A,Alessandro Alessandroni / Baroque Tales,Vinyle Archéologie,,
l2_9yJy56-w,STRINX / Green Eyes,Vinyle Archéologie,,
w2otAUNGQKg,Johnny Hawksworth / Drums Away,Vinyle Archéologie,,
AHQog36mhDw,John Epping / Lush Harmony,Vinyle Archéologie,,
wzxLAZ13Yog,Les Hooper / All Blues,Vinyle Archéologie,,
arXAC1EJ-vg,John Preston / The Physical Characteristics of Musical Sounds,Vinyle Archéologie,,
kc7uO7LcB_Q,Music Hall Pop Orchestra / História d'O,Vinyle Archéologie,,
Y0hGE6VRlUQ,SAINT-PREUX / Cantique,Vinyle Archéologie,,
w4CXVNkI_PA,Loek Dikker Waterland Ensemble / Tan Tango,Vinyle Archéologie,,
yuzfLByCRko,Serge Aubry / Solo,Vinyle Archéologie,,
eHFOpCcHJMg,井上堯之 / 導入,Vinyle Archéologie,,
Upiu4jj3fsA,Release Music Orchestra / Pat Smile,Vinyle Archéologie,,
7NxN4pFhOgk,Sound Orchestra / Paura,Vinyle Archéologie,,
smkcu4Q9PUQ,Percy Faith and His Orchestra and Chorus / One,Vinyle Archéologie,,
Bszz-9AWedw,The International Studio Orchestra / Mellow Bird,Vinyle Archéologie,,
CLe56HMxE-A,Dr. Music / In My Life,Vinyle Archéologie,,
O3Phmj48dRk,The Mighty Diamonds / Music Works Theme,Vinyle Archéologie,,
9Zy-imTAPVo,Włodek Gulgowski / Concerto in E-Dur (Część I),Vinyle Archéologie,,
2OxadCBARlU,The Gideon Singers / I See God,Vinyle Archéologie,,
F7yBDajevo8,Jazz Q / Předzvěst (Preludium),Vinyle Archéologie,,
TDgG8cajy1E,The Airmen of Note / Feelings,Vinyle Archéologie,,
IJzL4yEfMoo,Randall Stephens / Golden Strings,Vinyle Archéologie,,
XZSu3Kp5Kf4,"Craig Kupka / Electric Piano, Vibraphone and Percussion",Vinyle Archéologie,,
hEAzQpcoBtA,Spires That In The Sunset Rise - Underscore,Rare Samples & Songs Oleg Tsoy,,
e2t1qCFYjSU,Eroc - Tontillon,Rare Samples & Songs Oleg Tsoy,,
KHD_FkkVhtQ,John Cacavas - Horror Express End Titles,Rare Samples & Songs Oleg Tsoy,,
49P-zOKohqw,Patchwork - Night Moves,Rare Samples & Songs Oleg Tsoy,,
vIkmHQIahes,Ann Peebles - The Handwriting Is On The Wall,Rare Samples & Songs Oleg Tsoy,,
VqdQru12BlE,Maceo And All The Kings Men - Mr Banks,Rare Samples & Songs Oleg Tsoy,,
48vWDj1WIao,George Franklin Smallwood - I Love My Father,Rare Samples & Songs Oleg Tsoy,,
CErZvbcaOeE,Con Funk Shun - Images,Rare Samples & Songs Oleg Tsoy,,
OliyqDlaLkU,Denial - California Dreaming,Rare Samples & Songs Oleg Tsoy,,
kZmQgWS6KZg,Arthur Prysock - Autumn Leaves,Rare Samples & Songs Oleg Tsoy,,
pWv612juStU,Ana Mazzotti - Feel Like Making Love,Rare Samples & Songs Oleg Tsoy,,
